0	50,881
1	50,329
2	49,765
3	48,871
4	48,066
5	47,284
6	46,618
7	46,09
8	45,592
9	45,064
10	44,569
11	44,162
12	43,732
13	43,319
14	42,909
15	42,516
16	42,144
17	41,773
18	41,427
19	41,106
20	40,807
21	40,513
22	40,221
23	39,936
24	39,679
25	39,423
26	39,163
27	38,894
28	38,648
29	38,418
30	38,203
31	37,992
32	37,789
33	37,591
34	37,392
35	37,2
36	37,004
37	36,796
38	36,589
39	36,386
40	36,194
41	36,009
42	35,848
43	35,68
44	35,535
45	35,367
46	35,227
47	35,089
48	34,967
49	34,838
50	34,728
51	34,62
52	34,512
53	34,399
54	34,278
55	34,164
56	34,063
57	33,97
58	33,873
59	33,782
60	33,697
61	33,62
62	33,543
63	33,469
64	33,4
65	33,34
66	33,278
67	33,226
68	33,16
69	33,084
70	33,009
71	32,937
72	32,876
73	32,812
74	32,751
75	32,693
76	32,634
77	32,577
78	32,523
79	32,468
80	32,414
81	32,362
82	32,301
83	32,243
84	32,191
85	32,141
86	32,093
87	32,046
88	32,004
89	31,963
90	31,92
